TMDB_ID,SERIES,STATUS,RELEASE_DATE,RUNTIME,OVERVIEW,Vote_Average,Vote_Count,Genres,Keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,Cast,Crew,Videos
34835,009-1,Ended,2006-10-06,30,"In an alternate world, the Cold War has continued to persist for 140 years. As a result, the world was divided into two factions: the  West Block, and the East Block. As the Cold War drags on, the tension between the two factions, as well as the amount of nuclear weapons they have, rise. Mylene Hoffman is a female cyborg who is a spy for the West Block. Together with three other agents, Mylene partakes in various missions issued by her superiors.",6.5,13,"Animation, Action & Adventure, Sci-Fi & Fantasy, War & Politics, Drama","spy, cyborg, cold war, espionage, police, mecha, mission, conspiracy, tragedy, based on manga, nuclear weapons, communism, enigmatic, seinen, ecchi, anime, female cyborg, territorial division, alternative world",ゼロゼロナインワン,/r1zbGhkKXmzZR8h5y7LQxiE8yW9.jpg,/byuLWybI5Am5I6f7tGVr8H1k3Kn.jpg,2.6366,ja,Scripted,12,1,http://www.tbs.co.jp/anime/009-1/,Yumiko Shaku as Mylene Hoffman (voice) | Toshiyuki Morikawa as Roki (voice) | Marina Inoue as Mia Connery (voice) | Satsuki Yukino as Vanessa Ibert (voice) | Akeno Watanabe as Berta Kastner (voice) | Hochu Otsuka as Number Zero (voice) | Yoji Ueda as Doctor Green (voice),Yoshihiro Tomita (Director of Photography) | Taku Iwasaki (Original Music Composer),Opening | Destiny girl - Minato (Opening Credits): IwSkY3h8FnU
21855,07-Ghost,Ended,2009-04-07,24,"Set in a gothic fantasy world, this is the story of Teito Klein, an orphaned slave who became the top military academy student. However, an unexpected turn of events left him pursued by the forces of the Barsburg Empire. Now an escaping convict, Teito's sheltered by the church and its law of sanctuary. Here, he discovered many mysteries surrounding himself, the church, and the Empire itself. The fact that he might be connected to a dethroned king and the mystical stone of god, ""The Eye of Mikhael"", made him the target of the empire more than ever. Fortunately the church is under the mythical 7 Ghost protection. But who are the Ghosts really. Will Teito be free from the military's clutch, and what of his said mission to uncover the history. And who is the military's Chief-of-Staff Ayanami exactly. Teito's future seems to have spiraled into an unexpectedly perilous path.",7.0,25,"Animation, Drama","amnesia, magic, exorcism, friendship, god, revenge, conspiracy, tragedy, religion, brainwashing, bromance, based on manga, church, fighting, demon, military, angst, anime, bishounen, drastic change of life, josei",セブンゴースト,/xmqAgtAnhNNi4q9PUIHYE0NThXl.jpg,/xpbYhlApQErpGSIXTP8o9zQmwMu.jpg,3.826,ja,Scripted,25,1,,Show Hayami as Ayanami | Susumu Chiba as Castor | Junichi Suwabe as Frau | Mitsuki Saiga as Teito Klein / Mikhail | Kouki Miyata as Labrador | Hiroki Takahashi as Weldeschtein Krom Raggs | Kazuya Nakai as Katsuragi | Daisuke Kishio as Konatsu Warren | Wataru Hatano as Haruse | Saori Hayami as Razette / Tajio | Daisuke Namikawa as Mikage Celestine | Ayako Kawasumi as Athena | Kaori Nazuka as Libelle | Kenji Hamada as Hyuuga / Jio | Koichi Tochika as Lance,Masanori Goto (Producer) | Hitoshi Kawamura (Producer) | Tomoyuki Saito (Producer),07-Ghost - trailer (Trailer): vRjlJDDfhJI | 07 Ghost Trailer (Trailer): FMlCj3smUnI
85940,7SEEDS,Ended,2019-06-28,24,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",7.8,215,"Animation, Sci-Fi & Fantasy, Drama","japan, based on manga, anime, unfinished, psychological",7SEEDS,/eeGRd3ENc9vetozwDDMhl9S7l3G.jpg,/moI1fOrXKak8RIXaLHRozkoIh4Y.jpg,4.462,ja,Scripted,24,1,http://7seeds.jp/,Nao Toyama as Natsu Iwashimizu (voice) | Jun Fukuyama as Arashi Aota (voice) | Katsuyuki Konishi as Semimaru Asai (voice) | Kana Asumi as Matsuri Tendou (voice) | Kazuhiko Inoue as Kaname Mozunoto (voice) | Akira Ishida as Chimaki Yamori (voice) | Yoko Hikasa as Hana Suguruno (voice) | Hirofumi Nojima as Haru Yukima (voice) | Shizuka Itoh as Fujiko Amacha (voice) | Kenta Miyake as Akio Haza (voice),Shigeki Asakawa (Director of Photography) | MICHIRU (Original Music Composer) | Shinji Omori (Producer) | Tadashi Hoshino (Producer) | Hitoshi Anetai (Producer) | Tomoko Takahashi (Producer) | Hirotaka Kaneko (Producer),Official Trailer (Trailer): XRZvxqPO9sE | Teaser (Teaser): uGPF79Xl6XQ
100565,86 EIGHTY-SIX,Ended,2021-04-11,24,"Called “Juggernaut,” these are the unmanned combat drones developed by the Republic of San Magnolia in answer to the attacks by the autonomous unmanned drones of the neighboring Empire of Giad, the “Legion”. But they’re only unmanned in name. In reality, they are piloted by the Eighty-sixers—those considered to be less than human and treated as mere tools. Determined to achieve his own mysterious ends, Shin, the captain of Spearhead Squadron, which is comprised of Eighty-sixers, continues to fight a hopeless war on a battlefield where only death awaits him.",8.061,171,"Animation, Action & Adventure, Sci-Fi & Fantasy, War & Politics","based on novel or book, fight, army, racist, tragedy, terrorism, robot, combat, military, discrimination, anime, war, based on light novel",８６―エイティシックス―,/pp2gzafNPiug63UskS2niHK9Y04.jpg,/zV4F2N0OEpakHi5pkHHh5yaSpO6.jpg,8.342,ja,Scripted,23,1,https://anime-86.com,Ikumi Hasegawa as Vladilena 'Lena' Milizé (voice) | Shoya Chiba as Shinei Nouzen (voice) | Natsumi Fujiwara as Theoto Rikka (voice) | Seiichiro Yamashita as Raiden Shuga (voice) | Saori Hayami as Anju Emma (voice) | Sayumi Suzushiro as Kurena Kukumila (voice),Hiroyuki Sawano (Original Music Composer) | Kohta Yamamoto (Original Music Composer) | Takao Kiyose (Producer) | Nobuhiro Nakayama (Producer) | Mayu Miyako (Producer) | Masaharu Okazaki (Director of Photography) | Asato Asato (Novel),86 EIGHTY-SIX - Opening 2 | Kyokaisen (Opening Credits): tA0EEJj4hU0 | 86 EIGHTY-SIX - Opening 1 | 3-bun 29-byo (Opening Credits): eZIMFWAxMxQ | 86 EIGHTY SIX | OFFICIAL TRAILER (Trailer): VSdS29SDvn4
229610,A Playthrough of a Certain Dudes VRMMO Life,Ended,2023-10-03,24,"Taichi Tanaka is just an ordinary 38-year-old who enjoys video games. He starts a new virtual reality multiplayer game called One More Free Life Online, naming his character Earth. Unlike his fellow players, he decides to master the most menial of skills in the game. He cooks the finest meals, overbrews complicated potions, and hunts monsters with handmade weapons. His fantasy life begins!",6.352,27,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy","based on manga, anime, virtual world, based on light novel, vrmmo",とあるおっさんのVRMMO活動記,/ukCu3TQCTUFTZMf4QNMpxwf3ufO.jpg,/sIycem5xR9OFoC3qVHRDuSpspIZ.jpg,2.4597,ja,Scripted,12,1,https://toaru-ossan.com,Kaito Ishikawa as Earth (voice) | Daisuke Namikawa as Taichi Tanaka (voice) | Reina Ueda as Fairy Queen (voice) | Tasuku Hatanaka as Zwei (voice) | Miho Okasaki as Milly (voice) | Shiori Izawa as Ryu-chan (voice),Howahowa Shiina (Novel) | Yukina Nomura (Director of Photography) | Tohru Fujimura (Original Music Composer) | Tomohisa Ishikawa (Original Music Composer) | Youhei Matsui (Original Music Composer),Official Trailer [Subtitled] (Trailer): KEARCsDS624
230050,A Returners Magic Should Be Special,Returning Series,2023-10-08,24,"Another dimension that continues to taint our world, the Shadow World. Humanity is faced with the worst calamity, known as the Shadow Labyrinth. In spite of their desperate attacks, Desir Herrman and his friends lose their battle to the Destruction Dragon, Boromir Napolitan, and the world comes to an end. When Desir is convinced of his end, he opens his eyes... to find himself 13 years in the past. Desir has gone back in time to the enrollment ceremony of Hebrion Academy, the top school for mages in the Empire. To change the future of impending doom, Desir reassembles his friends once again to save the world!",7.8,30,"Animation, Sci-Fi & Fantasy, Action & Adventure","magic, time travel, fantasy world, anime, based on webcomic or webtoon, magic school, based on manhwa",帰還者の魔法は特別です,/svwCvfLCUqc5tn85lijkKqTXQLF.jpg,/2KKDIwALX3HJWCjeDnvLa3Ag6ki.jpg,3.8474,ja,Scripted,13,2,https://returners-magic.com,Takuma Terashima as Desir Herrman (voice) | Sayumi Suzushiro as Romantica Eru (voice) | Natsumi Fujiwara as Pram Schneider (voice) | Asami Seto as Ajest Kingscrown (voice) | Show Hayami as Zod Exarion (voice),Kenta Higashiohji (Original Music Composer) | Hideki Imaizumi (Director of Photography) | Sota Furuhashi (Producer) | Kim Ah-young (Producer) | Park Jin-hye (Producer) | Kanako Takahashi (Producer) | Kwak Hae-eun (Producer) | Usonan (Novel),ED Trailer [Subtitled] (Trailer): K9Kugj3Lxdw | OP Trailer [Subtitled] (Trailer): fbrm1lCYfig | Romantica Trailer [Subtitled] (Trailer): vjOjY7hmRVA | Desir Trailer [Subtitled] (Trailer): adbcfYw108A | Official Trailer [Subtitled] (Trailer): o4IcroeQPqw
210875,ATRI My Dear Moments,Ended,2024-07-14,24,"In the near future, a sudden and unexplained sea rise has left much of human civilization underwater. Ikaruga Natsuki, a boy who lost his mother and one of his legs in an accident some years earlier, returns disillusioned from a harsh life in the big city to find his old countryside home half-swallowed by the sea. Left without a family, all he has to his name is the ship and submarine left to him by his oceanologist grandmother, and her debts. His only hope to restore the dreams for the future that he has lost is to take up an opportunity presented to him by the suspicious debt collector Catherine. They set sail to search the sunken ruins of his grandmother's laboratory in order to find a treasure rumor says she left there. But what they find is not riches or jewels; it is a strange girl lying asleep in a coffin at the bottom of the sea, Atri. Atri is a robot, but her appearance and her wealth of emotions would fool anyone into thinking she's a living, breathing human being.",8.1,15,"Animation, Drama, Action & Adventure, Sci-Fi & Fantasy","artificial intelligence (a.i.), bodily disabled person, future, post-apocalyptic future, friendship, romance, slice of life, robot, seinen, anime, interspecies romance, robot girl, based on visual novel",ATRI -My Dear Moments-,/6bQKMlHwRmGnvIRxDahl1r8WJkE.jpg,/zwHdg4RWuAsCPHwcxOrOMTDGcKi.jpg,2.629,ja,Scripted,13,1,https://atri-anime.com/,Kensho Ono as Natsuki Ikaruga (voice) | Hikaru Akao as Atri (voice) | Minami Takahashi as Minamo Kamishiro (voice) | Yoshimasa Hosoya as Ryuuji Nojima (voice) | Yoko Hikasa as Catherine (voice) | Anzu Haruno as Ririka Nanami (voice),Tomoyoshi Kato (Director of Photography) | Fuminori Matsumoto (Original Music Composer),Special Comment Video [Subtitled] (Featurette): DQTlMrH6Xf4 | Official Trailer [Subtitled] (Trailer): H71NhmegF-A
42963,AYAKA,Ended,2006-01-13,23,"An anthology of three classic Japanese horror stories: ""Yotsuya Ghost Story"", the story of a wife betrayed by her husband who seeks vengeance even in death; ""Goddess of the Dark Tower"", the story of forbidden love between a goddess and a human; and ""Goblin Cat"", the story of a mysterious cat monster with a vendetta against a certain family.",7.4,14,"Animation, Mystery, Sci-Fi & Fantasy","anthology, japanese folklore, anime, psychological, horror",怪 〜ayakashi〜,/k2ZxUTQyCvqa3IIJ3oyqPZzKLLz.jpg,/qupQSxhEP1ct0Ek1BzjFsvnbFjD.jpg,3.2584,ja,Miniseries,11,1,http://lineup.toei-anim.co.jp/ja/tv/ayakashi/,Hiroaki Hirata as Iemon Tamiya (voice) | Mami Koyama as Oiwa Tamiya (voice) | Yuko Nagashima as Osode Yotsuya (voice) | Keiichi Sonobe as Gonbei Naosuke (voice) | Ryo Hirohashi as Oume Ito (voice) | Wataru Takagi as Yomoshichi Sato (voice) | Hikaru Midorikawa as Zoshonosuke Himekawa (voice) | Houko Kuwashima as Tomihime (voice) | Saeko Chiba as Oshizu (voice) | Yui Kano as Ominaeshi (voice) | Kappei Yamaguchi as Kaikaimaru (voice) | Masaya Onosaka as Kikimaru (voice) | Takahiro Sakurai as The Medicine Peddler (voice) | Yukana as Kayo (voice) | Tetsu Inada as Odajima (voice),Nanboku Tsuruya (Novel),
235758,Alya Sometimes Hides Her Feelings in Russian,Returning Series,2024-07-03,24,"Alya is a transfer student enjoying popularity at her new high school, often sporting a cold shoulder while earning high marks in class. She ignores her nerdy classmate, Kuze Masachika, except for when she blurts out a flirtatious line to him in Russian. Little does she know, Kuze understands Russian, though he pretends not to. Let’s see where this wacky love story takes them!",7.881,143,"Animation, Comedy","high school, harem, romcom, romance, slice of life, shounen, anime, tsundere, based on light novel",時々ボソッとロシア語でデレる隣のアーリャさん,/hfnzByZIRj6rx8xaxzS2zDilei1.jpg,/3197ZU1CWDjdFsmqvWPZGXAYaoi.jpg,11.8424,ja,Scripted,13,2,https://roshidere.com,Sumire Uesaka as Alisa 'Alya' Mikhailovna Kujō (voice) | Kohei Amasaki as Masachika Kuse (voice) | Wakana Maruoka as Yuki Suō (voice) | Yukiyo Fujii as Maria 'Masha' Mikhailovna Kujō (voice) | Saya Aizawa as Ayano Kimishima (voice) | Maki Kawase as Chisaki Sarashina (voice) | Kaito Ishikawa as Touya Kenzaki (voice) | Ikumi Hasegawa as Sayaka Taniyama (voice) | Yoshino Aoyama as Nonoa Miyamae (voice) | Koudai Sakai as Takeshi Maruyama (voice) | Taichi Ichikawa as Hikaru Kiyomiya (voice),SunSunSun (Novel) | Hiroaki Tsutsumi (Original Music Composer) | Seiichi Sugiura (Director of Photography) | Hajime Kamata (Producer) | Shunsuke Hasegawa (Producer) | Kousuke Arai (Producer),Official Trailer [Subtitled] (Trailer): CgacdWLGd0Y
277665,Anne Shirley,Returning Series,2025-04-05,24,"On the beautiful Prince Edward Island in Canada, an orphan named Anne Shirley is mistakenly sent to Green Gables, the home of Matthew and Marilla Cuthbert. They choose to adopt her anyway, as Anne finds friendship, love, and happiness in her new home. Come along for the story of a purehearted and imaginative girl growing up, leaving for college, and returning home a changed woman.",8.667,4,"Animation, Drama, Family","based on novel or book, adoption, remake, slice of life, coming of age, orphan, anime, talkative female lead",アン・シャーリー,/jRbV0vcG1YsOWZXxdo65OoE4ti9.jpg,/qHjVizo0Mpi9rkCk0v3zev9Mk3q.jpg,5.7795,ja,Scripted,24,1,https://anime-ann-e.jp,Honoka Inoue as Anne Shirley (voice) | Aya Nakamura as Marilla Cuthbert (voice) | Yasunori Matsumoto as Matthew Cuthbert (voice) | Naoya Miyase as Gilbert Blythe (voice) | Yume Miyamoto as Diana Barry (voice) | Hikari Ota as James A. Harrison (voice),Shinji Saito (Director of Photography) | Michiru Oshima (Original Music Composer) | Lucy Maud Montgomery (Novel) | Mami Nakatani (Producer) | Shigehiko Sato (Producer) | Fumihiro Kuriyama (Producer),Official Teaser [Subtitled] (Teaser): -oaZ3DRpjAk
