tmdb_id,series,status,release_date,runtime,overview,vote_average,vote_count,genres,keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,cast,crew,videos
34835,009-1,Ended,2006-10-06,30,"In an alternate world, the Cold War has continued to persist for 140 years. As a result, the world was divided into two factions: the  West Block, and the East Block. As the Cold War drags on, the tension between the two factions, as well as the amount of nuclear weapons they have, rise. Mylene Hoffman is a female cyborg who is a spy for the West Block. Together with three other agents, Mylene partakes in various missions issued by her superiors.",6.5,13,"Animation, Action & Adventure, Sci-Fi & Fantasy, War & Politics, Drama","spy, cyborg, cold war, espionage, police, mecha, mission, conspiracy, tragedy, based on manga, nuclear weapons, communism, enigmatic, seinen, ecchi, anime, female cyborg, territorial division, alternative world",ゼロゼロナインワン,/r1zbGhkKXmzZR8h5y7LQxiE8yW9.jpg,/byuLWybI5Am5I6f7tGVr8H1k3Kn.jpg,2.6366,ja,Scripted,12,1,http://www.tbs.co.jp/anime/009-1/,Yumiko Shaku as Mylene Hoffman (voice) | Toshiyuki Morikawa as Roki (voice) | Marina Inoue as Mia Connery (voice) | Satsuki Yukino as Vanessa Ibert (voice) | Akeno Watanabe as Berta Kastner (voice) | Hochu Otsuka as Number Zero (voice) | Yoji Ueda as Doctor Green (voice),Yoshihiro Tomita (Director of Photography) | Taku Iwasaki (Original Music Composer),Opening | Destiny girl - Minato (Opening Credits): IwSkY3h8FnU
21855,07-Ghost,Ended,2009-04-07,24,"Set in a gothic fantasy world, this is the story of Teito Klein, an orphaned slave who became the top military academy student. However, an unexpected turn of events left him pursued by the forces of the Barsburg Empire. Now an escaping convict, Teito's sheltered by the church and its law of sanctuary. Here, he discovered many mysteries surrounding himself, the church, and the Empire itself. The fact that he might be connected to a dethroned king and the mystical stone of god, ""The Eye of Mikhael"", made him the target of the empire more than ever. Fortunately the church is under the mythical 7 Ghost protection. But who are the Ghosts really. Will Teito be free from the military's clutch, and what of his said mission to uncover the history. And who is the military's Chief-of-Staff Ayanami exactly. Teito's future seems to have spiraled into an unexpectedly perilous path.",7.0,25,"Animation, Drama","amnesia, magic, exorcism, friendship, god, revenge, conspiracy, tragedy, religion, brainwashing, bromance, based on manga, church, fighting, demon, military, angst, anime, bishounen, drastic change of life, josei",セブンゴースト,/xmqAgtAnhNNi4q9PUIHYE0NThXl.jpg,/xpbYhlApQErpGSIXTP8o9zQmwMu.jpg,3.826,ja,Scripted,25,1,,Show Hayami as Ayanami | Susumu Chiba as Castor | Junichi Suwabe as Frau | Mitsuki Saiga as Teito Klein / Mikhail | Kouki Miyata as Labrador | Hiroki Takahashi as Weldeschtein Krom Raggs | Kazuya Nakai as Katsuragi | Daisuke Kishio as Konatsu Warren | Wataru Hatano as Haruse | Saori Hayami as Razette / Tajio | Daisuke Namikawa as Mikage Celestine | Ayako Kawasumi as Athena | Kaori Nazuka as Libelle | Kenji Hamada as Hyuuga / Jio | Koichi Tochika as Lance,Masanori Goto (Producer) | Hitoshi Kawamura (Producer) | Tomoyuki Saito (Producer),07-Ghost - trailer (Trailer): vRjlJDDfhJI | 07 Ghost Trailer (Trailer): FMlCj3smUnI
39340,2 Broke Girls,Canceled,2011-09-19,25,"Comedy about the unlikely friendship that develops between two very different young women who meet waitressing at a diner in trendy Williamsburg, Brooklyn, and form a bond over one day owning their own successful cupcake business. Only one thing stands in their way – they’re broke.",7.196,1583,Comedy,"new york city, restaurant, female friendship, diner, brooklyn, new york city, sitcom, workplace comedy, riches to rags, rich vs poor, working life",12 Monkeys,/w5u1PqBYfDyfrlkxADTA38jYG3I.jpg,/rgBEfR1A9JVBvoc0xUWv73o4M1M.jpg,19.3049,en,Scripted,47,4,https://www.syfy.com/12-monkeys,Aaron Stanford as James Cole | Amanda Schull as Cassandra Railly | Barbara Sukowa as Katarina Jones | Emily Hampshire as Jennifer Goines | Alisen Down as Olivia Kirschner | Todd Stashwick as Deacon,Sean Tretta (Producer),Opening Credits (Opening Credits): tegPMSx2Syo | Trailer (Trailer): wZNcVYqnCFw
108545,3 Body Problem,Returning Series,2024-03-21,0,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges.",7.484,1119,"Sci-Fi & Fantasy, Mystery, Drama","china, based on novel or book, scientist, alien invasion, alien contact, alien civilization, imaginative, cerebral, absurd, thriller, complicated, pessimistic",13 Reasons Why: Beyond the Reasons,/aauFzhjAGSemDpDBSmWDJpkeQiw.jpg,/8InkNNcz5MGZUgeuZA58nQ1glGJ.jpg,4.1298,en,Talk Show,3,3,https://www.netflix.com/title/80996791,Jay Asher as Self | Kate Walsh as Self | Dylan Minnette as Self | Katherine Langford as Self | Selena Gomez as Self,,
19633,3%,Ended,1975-10-07,0,"Akumaizer 3 is a Japanese science fiction tokusatsu television series, created by Shotaro Ishinomori and produced by Toei Company. The series premiered on Tuesday October 7, 1975 at 7:30, and ran for 38 episodes in that timeslot on NET, now known as TV Asahi. The series remains obscure outside of Japan, but was popular and renowned in its home country. The series was followed by a sequel called Chojin Bibyun which used rejected designs from the Kamen Rider series as its hero designs.",10.0,2,Drama,tokusatsu,1670,/5YG7jUXWKCsB0awkRbxb6vk6n5Y.jpg,/AfhDPw3x2WfMTfszcAVhngRWlA2.jpg,2.5522,pl,Scripted,8,2,https://www.netflix.com/title/81553471,Bartłomiej Topa as Jan Paweł Adamczewski | Katarzyna Herman as Zofia Adamczewska | Kirył Pietruczuk as Maciej | Martyna Byczkowska as Aniela Adamczewska | Michał Sikorski as Jakub Adamczewski | Andrzej Kłak as Andrzej Pobreża | Dobromir Dymecki as Bogdan | Paulina Matusewicz as Marianna,Nils Croné (Director of Photography) | Jan Kwieciński (Producer) | Jerzy Rogiewicz (Original Music Composer),
127735,4 Reasons Why I Hate Christmas,Ended,2019-12-07,20,A web-drama about 4 young adults who hate Christmas who meet by chance and spend the month of December together. They unexpectedly become a part of each others lives as Christmas nears.,7.0,4,"Drama, Comedy","romance, school, miniseries, university, co-workers relationship, break-up, young adult, christmas, web series, student, part-time worker, youth",18 어게인,/jwrumjdNdtlHRzthQEj9HmxehcR.jpg,/hGtx3dAB6x0ShXpDk4BBvt74Mtx.jpg,7.4015,ko,Scripted,16,1,http://tv.jtbc.joins.com/eighteenagain/,Lee Do-hyun as Hong Dae-young / Go Woo-young | Kim Ha-neul as Jung Da-jung | Yoon Sang-hyun as Hong Dae-young (37 years old) | Roh Jeong-eui as Hong Shi-ah | Ryeoun as Hong Shi-woo | Wi Ha-jun as Ye Ji-hoon | Kim Kang-hyun as Go Deok-jin | Lee Mi-do as Choo Ae-rin | Han So-eun as Young Jung Da-jung | Choi Bo-min as Seo Ji-ho | Hwang In-yeop as Goo Ja-sung | Kim Yoo-ri as Ok Hae-in | Lee Ki-woo as Choi Il-kwon | Ahn Nae-sang as JBC Director,Ha Byung-hoon (Director) | Kim Do-yeon (Writer) | An Eun-bin (Writer) | Choi Yi-ryun (Writer) | Cho Young-jik (Director of Photography),18 Again Korean Drama 2020 - Trailer #1 [ENG SUB] (Trailer): neLAy_Gpc-Y
85940,7SEEDS,Ended,2019-06-28,24,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",7.8,215,"Animation, Sci-Fi & Fantasy, Drama","japan, based on manga, anime, unfinished, psychological",1883,/waLbm384SQDwLTCn6ttPqQS5kfV.jpg,/uQUHCqxHsG9blvtCoL7vluMG9Jp.jpg,26.2616,en,Miniseries,10,1,https://www.paramountplus.com/shows/1883,Sam Elliott as Shea Brennan | Tim McGraw as James Dutton | Faith Hill as Margaret Dutton | Isabel May as Elsa Dutton | LaMonica Garrett as Thomas | Marc Rissmann as Josef | Audie Rick as John Dutton | James Landry Hébert as Wade,Brian Tyler (Original Music Composer) | Breton Vivian (Original Music Composer),Official UK Trailer (Trailer): WQXM8zzc9SQ | Official Australia Trailer (Trailer): euuCpiAh3FY | A Look Behind The Scenes (Behind the Scenes): NrCAd6tnaY8 | Official Trailer (Trailer): ZkbH1zjsM7g | Teaser (Extended Look) (Teaser): rN0wIC1hVzg
206082,9 Border,Ended,2017-10-10,0,The dogs of U.S. Customs and Border Patrol work the border day and night to stop the flow of illegal contraband.,0.0,0,Documentary,,1899,/qmpUDEgZawIlDU5HP3IJ9HjnpI3.jpg,/oZMEWCcnFWGdp4W4ICdJgkw1RYf.jpg,6.6355,de,Scripted,8,1,https://www.netflix.com/title/80214497,Emily Beecham as Maura Franklin | Andreas Pietschmann as Eyk Larsen | Aneurin Barnard as Daniel Solace | Isabella Wei as Ling Yi | Maciej Musiał as Olek | Yann Gael as Jérôme | Miguel Bernardeau as Ángel | Clara Rosager as Tove | Rosalie Craig as Virginia | Lucas Lynggaard Tønnesen as Krester | Mathilde Ollivier as Clémence | José Pimentão as Ramiro | Tino Mewes as Sebastian | Gabby Wong as Yuk Je | Jonas Bloquet as Lucien,Pat Tookey-Dickson (Producer) | Ben Frost (Original Music Composer) | Nikolaus Summerer (Director of Photography),Opening Credits Theme Song (Opening Credits): NMuXoFboAok | Behind the Scenes (Behind the Scenes): 5vWt49oXINg | Official Teaser (Teaser): ulOOON_KYHs | Teaser (Teaser): soj6bA35ABk
75219,9-1-1,Returning Series,2018-01-03,43,"Explore the high-pressure experiences of police officers, paramedics and firefighters who are thrust into the most frightening, shocking and heart-stopping situations. These emergency responders must try to balance saving those who are at their most vulnerable with solving the problems in their own lives.",8.229,2590,"Drama, Crime, Action & Adventure","california, police, los angeles, california, police officer, firefighter, emergency, procedural, first responders, emergency services, depressing",1923,/vNJWr0xh7W5IDzFTnVzWhw6KoJr.jpg,/vIioWssbxRtEkIzgj8r0pCWYkYM.jpg,65.118,en,Scripted,15,2,https://www.paramountplus.com/shows/1923,Helen Mirren as Cara Dutton | Harrison Ford as Jacob Dutton | Brandon Sklenar as Spencer Dutton | Julia Schlaepfer as Alexandra 'Alex' of Sussex | Jerome Flynn as Banner Creighton | Darren Mann as Jack Dutton | Isabel May as Elsa Dutton (Narrator) (voice) | Brian Geraghty as Zane Davis | Aminah Nieves as Teonna Rainwater | Michelle Randolph as Elizabeth Strafford | Timothy Dalton as Donald Whitfield,Rajeev Malhotra (Producer) | Brian Tyler (Original Music Composer) | Breton Vivian (Original Music Composer),Behind the Scenes (Behind the Scenes): MAUJRarf4cE | Official UK Trailer (Trailer): v88e9Dwnqo0 | Official Trailer (Trailer): 7SIXEy4cwiw | Official UK Teaser Trailer (Teaser): i_tU2b5B8fE | Teaser Trailer (Teaser): VD62k2SwVjo
89393,9-1-1 Lone Star,Ended,2020-01-19,0,"Nearly 20 years ago, Owen Strand was the lone survivor of his Manhattan firehouse on 9/11. In the wake of the attack, Owen had the unenviable task of rebuilding his station. After a similar tragedy happens to a firehouse in Austin, Owen, along with his troubled firefighter son, T.K., takes his progressive philosophies of life and firefighting down to Texas, where he helps them start anew. On the surface, Owen is all about big-city style and swagger, but underneath he struggles with a secret he hides from the world - one that could very well end his life.",8.051,1136,"Drama, Action & Adventure, Crime","spin off, austin, texas, firefighter, rescue from fire",1992,/brg7JhfiUDZWsKCMLi7nQK4rAi3.jpg,/tH339xcZPiktjK7uzOdWZ81x7PF.jpg,2.8446,es,Miniseries,6,1,https://pokeepsiefilms.com/en/project/1992,Fernando Valdivielso as Richi | Marian Álvarez as Amparo | Víctor Rivas as Hooded | Carlos Santos as Victoria | Álex Gadea as Álvaro | Jaime Ordóñez as Palacios | Marieta Sánchez as Rosa | Paz Vega as Carmen | Gorka Lasaosa as Police Commissary Robledo,,
