Series,Episode,1080p,720p,480p,Subtitle
Solo Leveling,S01E01,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E01.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E01.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E01.srt
Solo Leveling,S01E02,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E02.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E02.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E02.srt
Solo Leveling,S01E03,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E03.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E03.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E03.srt
Solo Leveling,S01E04,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E04.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E04.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E04.srt
Solo Leveling,S01E05,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E05.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E05.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E05.srt
Solo Leveling,S01E06,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E06.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E06.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E06.srt
Solo Leveling,S01E07,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E07.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E07.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E07.srt
Solo Leveling,S01E08,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E08.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E08.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E08.srt
Solo Leveling,S01E09,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E09.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E09.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E09.srt
Solo Leveling,S01E10,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E10.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E10.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E10.srt
Solo Leveling,S01E11,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E11.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E11.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E11.srt
Solo Leveling,S01E12,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/1080p/Solo.Leveling.S01E12.1080p.AMZN.WEB-DL.SoftSub.9Movie.mkv,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/720p/Solo.Leveling.S01E12.720p.AMZN.WEB-DL.SoftSub.9Movie.mkv,,https://dl14.twoddlofflinefa.pw/series/Solo.Leveling/S01/sub/Solo.Leveling.S01E12.srt
Solo Leveling,S02E01,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/1080p/Solo.Leveling.S02E01.1080p.x264.WEB-DL.SoftSub.9Movie.mkv,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/720p/Solo.Leveling.S02E01.720p.x264.WEB-DL.SoftSub.9Movie.mkv,,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/sub/Solo.Leveling.S02E01.srt
Solo Leveling,S02E02,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/1080p/Solo.Leveling.S02E02.1080p.x264.WEB-DL.SoftSub.9Movie.mkv,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/720p/Solo.Leveling.S02E02.720p.x264.WEB-DL.SoftSub.9Movie.mkv,,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/sub/Solo.Leveling.S02E02.srt
Solo Leveling,S02E03,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/1080p/Solo.Leveling.S02E03.1080p.x264.WEB-DL.SoftSub.9Movie.mkv,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/720p/Solo.Leveling.S02E03.720p.x264.WEB-DL.SoftSub.9Movie.mkv,,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/sub/Solo.Leveling.S02E03.srt
Solo Leveling,S02E04,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/1080p/Solo.Leveling.S02E04.1080p.x264.WEB-DL.SoftSub.9Movie.mkv,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/720p/Solo.Leveling.S02E04.720p.x264.WEB-DL.SoftSub.9Movie.mkv,,https://dl17.twoddlofflinefa.pw/series/s/Solo.Leveling/S02/sub/Solo.Leveling.S02E04.srt
